cm-1;%T
3029,00;95,12
3028,00;95,11
3027,00;95,11
3026,00;95,11
3025,00;95,11
3024,00;95,11
3023,00;95,11
3022,00;95,10
3021,00;95,10
3020,00;95,10
3019,00;95,09
3018,00;95,09
3017,00;95,09
3016,00;95,08
3015,00;95,08
3014,00;95,07
3013,00;95,06
3012,00;95,06
3011,00;95,06
3010,00;95,06
3009,00;95,05
3008,00;95,06
3007,00;95,06
3006,00;95,06
3005,00;95,06
3004,00;95,06
3003,00;95,06
3002,00;95,06
3001,00;95,06
3000,00;95,07
2999,00;95,07
2998,00;95,07
2997,00;95,08
2996,00;95,08
2995,00;95,07
2994,00;95,07
2993,00;95,06
2992,00;95,04
2991,00;95,03
2990,00;95,01
2989,00;94,99
2988,00;94,96
2987,00;94,93
2986,00;94,89
2985,00;94,84
2984,00;94,79
2983,00;94,73
2982,00;94,68
2981,00;94,62
2980,00;94,56
2979,00;94,49
2978,00;94,42
2977,00;94,33
2976,00;94,23
2975,00;94,11
2974,00;93,97
2973,00;93,80
2972,00;93,61
2971,00;93,40
2970,00;93,16
2969,00;92,89
2968,00;92,60
2967,00;92,31
2966,00;92,01
2965,00;91,71
2964,00;91,43
2963,00;91,17
2962,00;90,92
2961,00;90,68
2960,00;90,44
2959,00;90,21
2958,00;90,00
2957,00;89,84
2956,00;89,75
2955,00;89,76
2954,00;89,88
2953,00;90,09
2952,00;90,34
2951,00;90,59
2950,00;90,78
2949,00;90,90
2948,00;90,94
2947,00;90,91
2946,00;90,81
2945,00;90,66
2944,00;90,47
2943,00;90,23
2942,00;89,96
2941,00;89,64
2940,00;89,29
2939,00;88,91
2938,00;88,50
2937,00;88,09
2936,00;87,67
2935,00;87,26
2934,00;86,86
2933,00;86,44
2932,00;86,02
2931,00;85,56
2930,00;85,07
2929,00;84,53
2928,00;83,93
2927,00;83,26
2926,00;82,49
2925,00;81,62
2924,00;80,62
2923,00;79,50
2922,00;78,27
2921,00;76,97
2920,00;75,65
2919,00;74,42
2918,00;73,41
2917,00;72,76
2916,00;72,59
2915,00;72,97
2914,00;73,85
2913,00;75,09
2912,00;76,52
2911,00;77,96
2910,00;79,30
2909,00;80,48
2908,00;81,49
2907,00;82,33
2906,00;83,04
2905,00;83,64
2904,00;84,15
2903,00;84,60
2902,00;84,98
2901,00;85,33
2900,00;85,64
2899,00;85,93
2898,00;86,21
2897,00;86,47
2896,00;86,73
2895,00;86,98
2894,00;87,23
2893,00;87,46
2892,00;87,70
2891,00;87,93
2890,00;88,17
2889,00;88,41
2888,00;88,66
2887,00;88,91
2886,00;89,16
2885,00;89,40
2884,00;89,62
2883,00;89,82
2882,00;89,98
2881,00;90,11
2880,00;90,20
2879,00;90,24
2878,00;90,23
2877,00;90,17
2876,00;90,08
2875,00;89,97
2874,00;89,87
2873,00;89,82
2872,00;89,82
2871,00;89,88
2870,00;89,97
2869,00;90,08
2868,00;90,17
2867,00;90,22
2866,00;90,23
2865,00;90,18
2864,00;90,06
2863,00;89,87
2862,00;89,60
2861,00;89,25
2860,00;88,84
2859,00;88,35
2858,00;87,78
2857,00;87,07
2856,00;86,17
2855,00;85,00
2854,00;83,51
2853,00;81,74
2852,00;79,84
2851,00;78,11
2850,00;76,88
2849,00;76,46
2848,00;76,97
2847,00;78,27
2846,00;80,09
2845,00;82,08
2844,00;83,98
2843,00;85,64
2842,00;87,02
2841,00;88,14
2840,00;89,04
2839,00;89,77
2838,00;90,37
2837,00;90,87
2836,00;91,29
2835,00;91,64
2834,00;91,95
2833,00;92,22
2832,00;92,46
2831,00;92,67
2830,00;92,86
2829,00;93,03
2828,00;93,19
2827,00;93,33
2826,00;93,46
2825,00;93,58
2824,00;93,70
2823,00;93,80
