cm-1;%T
3376,00;70,98
3375,00;70,96
3374,00;70,93
3373,00;70,90
3372,00;70,87
3371,00;70,84
3370,00;70,81
3369,00;70,78
3368,00;70,77
3367,00;70,76
3366,00;70,75
3365,00;70,74
3364,00;70,73
3363,00;70,72
3362,00;70,71
3361,00;70,70
3360,00;70,69
3359,00;70,69
3358,00;70,68
3357,00;70,68
3356,00;70,67
3355,00;70,66
3354,00;70,66
3353,00;70,64
3352,00;70,64
3351,00;70,64
3350,00;70,64
3349,00;70,65
3348,00;70,66
3347,00;70,66
3346,00;70,66
3345,00;70,66
3344,00;70,66
3343,00;70,66
3342,00;70,67
3341,00;70,67
3340,00;70,68
3339,00;70,69
3338,00;70,70
3337,00;70,72
3336,00;70,73
3335,00;70,75
3334,00;70,76
3333,00;70,77
3332,00;70,78
3331,00;70,80
3330,00;70,80
3329,00;70,81
3328,00;70,82
3327,00;70,83
3326,00;70,84
3325,00;70,86
3324,00;70,88
3323,00;70,90
3322,00;70,92
3321,00;70,93
3320,00;70,95
3319,00;70,96
3318,00;70,97
3317,00;70,98
3316,00;70,99
3315,00;71,01
3314,00;71,02
3313,00;71,03
3312,00;71,04
3311,00;71,05
3310,00;71,06
3309,00;71,08
3308,00;71,09
3307,00;71,11
3306,00;71,13
3305,00;71,15
3304,00;71,17
3303,00;71,19
3302,00;71,22
3301,00;71,24
3300,00;71,26
3299,00;71,27
3298,00;71,29
3297,00;71,30
3296,00;71,31
3295,00;71,32
3294,00;71,34
3293,00;71,36
3292,00;71,38
3291,00;71,41
3290,00;71,44
3289,00;71,47
3288,00;71,49
3287,00;71,52
3286,00;71,54
3285,00;71,56
3284,00;71,58
3283,00;71,60
3282,00;71,62
3281,00;71,64
3280,00;71,67
3279,00;71,69
3278,00;71,72
3277,00;71,74
3276,00;71,76
3275,00;71,79
3274,00;71,81
3273,00;71,84
3272,00;71,87
3271,00;71,90
3270,00;71,94
3269,00;71,98
3268,00;72,02
3267,00;72,06
3266,00;72,10
3265,00;72,14
3264,00;72,17
3263,00;72,21
3262,00;72,25
3261,00;72,29
3260,00;72,33
3259,00;72,37
3258,00;72,41
3257,00;72,45
3256,00;72,50
3255,00;72,55
3254,00;72,60
3253,00;72,65
3252,00;72,71
3251,00;72,75
3250,00;72,80
3249,00;72,85
3248,00;72,90
3247,00;72,95
3246,00;73,01
3245,00;73,07
3244,00;73,14
3243,00;73,21
3242,00;73,27
3241,00;73,33
3240,00;73,39
3239,00;73,46
3238,00;73,52
3237,00;73,58
3236,00;73,64
3235,00;73,71
3234,00;73,78
3233,00;73,85
3232,00;73,93
3231,00;74,01
3230,00;74,09
3229,00;74,17
3228,00;74,25
3227,00;74,34
3226,00;74,42
3225,00;74,50
3224,00;74,59
3223,00;74,67
3222,00;74,76
3221,00;74,84
3220,00;74,93
3219,00;75,03
3218,00;75,12
3217,00;75,22
3216,00;75,31
3215,00;75,41
3214,00;75,50
3213,00;75,60
3212,00;75,70
3211,00;75,80
3210,00;75,90
3209,00;76,01
3208,00;76,11
3207,00;76,21
3206,00;76,32
3205,00;76,43
3204,00;76,53
3203,00;76,64
3202,00;76,75
3201,00;76,86
3200,00;76,97
3199,00;77,08
3198,00;77,19
3197,00;77,30
3196,00;77,42
3195,00;77,53
3194,00;77,64
3193,00;77,76
3192,00;77,87
3191,00;77,99
3190,00;78,11
3189,00;78,23
3188,00;78,35
3187,00;78,47
3186,00;78,59
3185,00;78,71
3184,00;78,83
3183,00;78,95
3182,00;79,07
3181,00;79,19
3180,00;79,30
3179,00;79,43
3178,00;79,55
3177,00;79,67
3176,00;79,79
3175,00;79,92
3174,00;80,04
3173,00;80,16
3172,00;80,28
3171,00;80,41
3170,00;80,53
3169,00;80,65
3168,00;80,78
3167,00;80,90
3166,00;81,02
3165,00;81,15
3164,00;81,27
3163,00;81,39
3162,00;81,52
3161,00;81,64
3160,00;81,76
3159,00;81,88
3158,00;82,00
3157,00;82,12
3156,00;82,24
3155,00;82,36
3154,00;82,48
3153,00;82,60
3152,00;82,72
3151,00;82,85
3150,00;82,97
3149,00;83,09
3148,00;83,22
3147,00;83,34
3146,00;83,46
3145,00;83,58
3144,00;83,69
3143,00;83,81
3142,00;83,92
3141,00;84,03
3140,00;84,15
3139,00;84,27
3138,00;84,38
3137,00;84,50
3136,00;84,62
3135,00;84,74
3134,00;84,85
3133,00;84,96
3132,00;85,07
3131,00;85,18
3130,00;85,29
3129,00;85,40
3128,00;85,51
3127,00;85,62
3126,00;85,73
3125,00;85,84
3124,00;85,94
3123,00;86,04
3122,00;86,15
3121,00;86,26
3120,00;86,36
3119,00;86,47
3118,00;86,57
3117,00;86,67
3116,00;86,78
3115,00;86,88
3114,00;86,98
3113,00;87,09
3112,00;87,19
3111,00;87,29
3110,00;87,38
3109,00;87,48
3108,00;87,58
3107,00;87,68
3106,00;87,77
3105,00;87,87
3104,00;87,96
3103,00;88,05
3102,00;88,14
3101,00;88,23
3100,00;88,33
3099,00;88,42
3098,00;88,51
3097,00;88,61
3096,00;88,70
3095,00;88,79
3094,00;88,88
3093,00;88,96
3092,00;89,05
3091,00;89,13
3090,00;89,22
3089,00;89,30
3088,00;89,38
3087,00;89,46
3086,00;89,54
3085,00;89,63
3084,00;89,71
3083,00;89,79
3082,00;89,87
3081,00;89,95
3080,00;90,03
3079,00;90,11
3078,00;90,19
3077,00;90,27
3076,00;90,34
3075,00;90,41
3074,00;90,49
3073,00;90,56
3072,00;90,63
3071,00;90,71
3070,00;90,78
3069,00;90,85
3068,00;90,92
3067,00;90,98
3066,00;91,05
3065,00;91,11
3064,00;91,18
3063,00;91,25
3062,00;91,31
3061,00;91,38
3060,00;91,45
3059,00;91,51
3058,00;91,57
3057,00;91,62
3056,00;91,68
3055,00;91,74
3054,00;91,80
3053,00;91,86
3052,00;91,92
3051,00;91,98
3050,00;92,03
3049,00;92,09
3048,00;92,14
3047,00;92,19
3046,00;92,24
3045,00;92,29
3044,00;92,34
3043,00;92,39
3042,00;92,43
3041,00;92,48
3040,00;92,52
3039,00;92,56
3038,00;92,60
3037,00;92,64
3036,00;92,68
3035,00;92,72
3034,00;92,76
3033,00;92,79
3032,00;92,83
3031,00;92,86
3030,00;92,90
3029,00;92,93
3028,00;92,96
3027,00;92,99
3026,00;93,02
3025,00;93,04
3024,00;93,07
3023,00;93,09
3022,00;93,11
3021,00;93,12
3020,00;93,14
3019,00;93,15
3018,00;93,15
3017,00;93,16
3016,00;93,16
3015,00;93,15
3014,00;93,15
3013,00;93,14
3012,00;93,12
3011,00;93,09
3010,00;93,06
3009,00;93,01
3008,00;92,96
3007,00;92,91
3006,00;92,85
3005,00;92,77
3004,00;92,69
3003,00;92,59
3002,00;92,47
3001,00;92,33
3000,00;92,17
2999,00;91,99
2998,00;91,79
2997,00;91,55
2996,00;91,28
2995,00;90,96
2994,00;90,61
2993,00;90,20
2992,00;89,74
2991,00;89,23
2990,00;88,66
2989,00;88,03
2988,00;87,34
2987,00;86,60
2986,00;85,81
2985,00;84,98
2984,00;84,13
2983,00;83,28
2982,00;82,47
2981,00;81,72
2980,00;81,06
2979,00;80,52
2978,00;80,12
2977,00;79,87
2976,00;79,80
2975,00;79,89
2974,00;80,14
2973,00;80,54
2972,00;81,06
2971,00;81,66
2970,00;82,31
2969,00;82,98
2968,00;83,63
2967,00;84,26
2966,00;84,85
2965,00;85,38
2964,00;85,86
2963,00;86,27
2962,00;86,63
2961,00;86,94
2960,00;87,21
2959,00;87,42
2958,00;87,60
2957,00;87,74
2956,00;87,86
2955,00;87,96
2954,00;88,04
2953,00;88,11
2952,00;88,17
2951,00;88,21
2950,00;88,24
2949,00;88,24
2948,00;88,22
2947,00;88,17
2946,00;88,10
2945,00;87,99
2944,00;87,86
2943,00;87,69
2942,00;87,50
2941,00;87,29
2940,00;87,05
2939,00;86,80
2938,00;86,53
2937,00;86,25
2936,00;85,96
2935,00;85,65
2934,00;85,34
2933,00;85,03
2932,00;84,72
2931,00;84,43
2930,00;84,16
2929,00;83,92
2928,00;83,72
2927,00;83,57
2926,00;83,47
2925,00;83,41
2924,00;83,41
2923,00;83,45
2922,00;83,54
2921,00;83,66
2920,00;83,80
2919,00;83,96
2918,00;84,13
2917,00;84,31
2916,00;84,49
2915,00;84,68
2914,00;84,86
2913,00;85,03
2912,00;85,16
2911,00;85,26
2910,00;85,33
2909,00;85,37
2908,00;85,38
2907,00;85,39
2906,00;85,38
2905,00;85,38
2904,00;85,38
2903,00;85,39
2902,00;85,41
2901,00;85,45
2900,00;85,50
2899,00;85,57
2898,00;85,64
2897,00;85,73
2896,00;85,82
2895,00;85,92
2894,00;86,03
2893,00;86,14
2892,00;86,26
2891,00;86,39
2890,00;86,52
2889,00;86,64
2888,00;86,76
2887,00;86,88
2886,00;87,00
2885,00;87,11
2884,00;87,22
2883,00;87,32
2882,00;87,41
2881,00;87,49
2880,00;87,57
2879,00;87,64
2878,00;87,71
2877,00;87,79
2876,00;87,87
2875,00;87,95
2874,00;88,06
2873,00;88,17
2872,00;88,31
2871,00;88,47
2870,00;88,65
2869,00;88,83
2868,00;89,01
2867,00;89,16
2866,00;89,30
2865,00;89,40
2864,00;89,47
2863,00;89,50
2862,00;89,51
2861,00;89,48
2860,00;89,42
2859,00;89,35
2858,00;89,27
2857,00;89,20
2856,00;89,15
2855,00;89,13
2854,00;89,14
2853,00;89,20
2852,00;89,29
2851,00;89,43
2850,00;89,62
2849,00;89,87
2848,00;90,17
2847,00;90,52
2846,00;90,87
2845,00;91,22
2844,00;91,55
2843,00;91,84
2842,00;92,12
2841,00;92,36
2840,00;92,60
2839,00;92,81
2838,00;93,00
2837,00;93,17
2836,00;93,33
2835,00;93,47
2834,00;93,61
2833,00;93,73
2832,00;93,85
2831,00;93,96
2830,00;94,07
2829,00;94,17
2828,00;94,26
2827,00;94,35
2826,00;94,43
2825,00;94,51
2824,00;94,58
2823,00;94,65
2822,00;94,72
2821,00;94,78
2820,00;94,84
2819,00;94,90
2818,00;94,95
2817,00;95,01
2816,00;95,06
2815,00;95,11
2814,00;95,16
2813,00;95,21
2812,00;95,26
2811,00;95,32
2810,00;95,37
2809,00;95,43
2808,00;95,49
2807,00;95,54
2806,00;95,60
2805,00;95,67
2804,00;95,73
2803,00;95,79
2802,00;95,85
2801,00;95,91
2800,00;95,96
2799,00;96,02
2798,00;96,07
2797,00;96,11
2796,00;96,15
2795,00;96,19
2794,00;96,23
2793,00;96,27
2792,00;96,31
2791,00;96,35
2790,00;96,39
2789,00;96,42
2788,00;96,44
2787,00;96,47
2786,00;96,49
2785,00;96,52
2784,00;96,54
2783,00;96,57
2782,00;96,59
2781,00;96,61
2780,00;96,63
2779,00;96,65
2778,00;96,67
2777,00;96,69
2776,00;96,71
2775,00;96,73
2774,00;96,74
2773,00;96,75
2772,00;96,76
2771,00;96,77
2770,00;96,77
2769,00;96,78
2768,00;96,78
2767,00;96,79
2766,00;96,79
2765,00;96,80
2764,00;96,80
2763,00;96,81
2762,00;96,81
2761,00;96,81
2760,00;96,82
2759,00;96,83
2758,00;96,83
2757,00;96,83
2756,00;96,84
2755,00;96,84
2754,00;96,85
2753,00;96,86
2752,00;96,87
2751,00;96,88
2750,00;96,89
2749,00;96,90
2748,00;96,91
2747,00;96,91
2746,00;96,92
2745,00;96,93
2744,00;96,94
2743,00;96,95
2742,00;96,96
2741,00;96,97
2740,00;96,98
2739,00;96,99
2738,00;97,00
2737,00;97,01
2736,00;97,02
2735,00;97,03
2734,00;97,03
2733,00;97,04
2732,00;97,05
2731,00;97,07
2730,00;97,08
2729,00;97,10
2728,00;97,12
2727,00;97,13
2726,00;97,15
2725,00;97,17
2724,00;97,19
2723,00;97,21
2722,00;97,24
2721,00;97,26
2720,00;97,29
2719,00;97,31
2718,00;97,34
2717,00;97,36
2716,00;97,38
2715,00;97,40
2714,00;97,42
2713,00;97,43
2712,00;97,44
2711,00;97,46
2710,00;97,47
2709,00;97,48
2708,00;97,50
2707,00;97,51
2706,00;97,52
2705,00;97,53
2704,00;97,55
2703,00;97,56
2702,00;97,57
2701,00;97,59
2700,00;97,61
2699,00;97,62
2698,00;97,64
2697,00;97,66
2696,00;97,68
2695,00;97,70
2694,00;97,72
2693,00;97,74
2692,00;97,75
2691,00;97,77
2690,00;97,78
2689,00;97,80
2688,00;97,82
2687,00;97,83
2686,00;97,85
2685,00;97,86
2684,00;97,88
2683,00;97,89
2682,00;97,91
2681,00;97,93
2680,00;97,94
2679,00;97,95
2678,00;97,97
2677,00;97,98
2676,00;97,99
2675,00;98,00
2674,00;98,02
2673,00;98,03
2672,00;98,04
2671,00;98,05
2670,00;98,07
2669,00;98,08
2668,00;98,09
2667,00;98,10
2666,00;98,11
2665,00;98,12
2664,00;98,13
2663,00;98,14
2662,00;98,15
2661,00;98,17
2660,00;98,18
2659,00;98,19
2658,00;98,20
2657,00;98,21
2656,00;98,22
2655,00;98,23
2654,00;98,24
2653,00;98,25
2652,00;98,26
2651,00;98,27
2650,00;98,28
2649,00;98,29
2648,00;98,30
2647,00;98,31
2646,00;98,32
2645,00;98,33
2644,00;98,33
2643,00;98,34
2642,00;98,36
2641,00;98,37
2640,00;98,38
2639,00;98,39
2638,00;98,39
2637,00;98,39
2636,00;98,39
2635,00;98,39
2634,00;98,39
2633,00;98,40
2632,00;98,40
2631,00;98,41
2630,00;98,41
2629,00;98,42
2628,00;98,43
2627,00;98,43
2626,00;98,44
2625,00;98,45
2624,00;98,45
2623,00;98,45
2622,00;98,46
2621,00;98,47
2620,00;98,48
2619,00;98,49
2618,00;98,50
2617,00;98,50
2616,00;98,51
2615,00;98,52
2614,00;98,53
2613,00;98,54
2612,00;98,55
2611,00;98,55
2610,00;98,55
2609,00;98,55
2608,00;98,56
