cm-1;%T
3122,00;94,02
3121,00;94,04
3120,00;94,06
3119,00;94,08
3118,00;94,10
3117,00;94,12
3116,00;94,13
3115,00;94,15
3114,00;94,17
3113,00;94,19
3112,00;94,21
3111,00;94,22
3110,00;94,24
3109,00;94,25
3108,00;94,27
3107,00;94,29
3106,00;94,31
3105,00;94,33
3104,00;94,34
3103,00;94,35
3102,00;94,36
3101,00;94,38
3100,00;94,40
3099,00;94,42
3098,00;94,44
3097,00;94,45
3096,00;94,47
3095,00;94,48
3094,00;94,50
3093,00;94,51
3092,00;94,53
3091,00;94,54
3090,00;94,56
3089,00;94,57
3088,00;94,59
3087,00;94,60
3086,00;94,61
3085,00;94,62
3084,00;94,64
3083,00;94,65
3082,00;94,66
3081,00;94,68
3080,00;94,69
3079,00;94,71
3078,00;94,72
3077,00;94,74
3076,00;94,76
3075,00;94,78
3074,00;94,79
3073,00;94,81
3072,00;94,82
3071,00;94,83
3070,00;94,84
3069,00;94,86
3068,00;94,87
3067,00;94,88
3066,00;94,89
3065,00;94,91
3064,00;94,92
3063,00;94,94
3062,00;94,96
3061,00;94,97
3060,00;94,99
3059,00;95,00
3058,00;95,01
3057,00;95,03
3056,00;95,04
3055,00;95,05
3054,00;95,06
3053,00;95,08
3052,00;95,09
3051,00;95,11
3050,00;95,13
3049,00;95,14
3048,00;95,16
3047,00;95,17
3046,00;95,18
3045,00;95,19
3044,00;95,20
3043,00;95,21
3042,00;95,22
3041,00;95,23
3040,00;95,25
3039,00;95,26
3038,00;95,27
3037,00;95,28
3036,00;95,29
3035,00;95,30
3034,00;95,31
3033,00;95,32
3032,00;95,34
3031,00;95,35
3030,00;95,36
3029,00;95,37
3028,00;95,38
3027,00;95,39
3026,00;95,40
3025,00;95,42
3024,00;95,43
3023,00;95,43
3022,00;95,44
3021,00;95,44
3020,00;95,45
3019,00;95,45
3018,00;95,45
3017,00;95,45
3016,00;95,45
3015,00;95,45
3014,00;95,45
3013,00;95,46
3012,00;95,46
3011,00;95,46
3010,00;95,46
3009,00;95,47
3008,00;95,47
3007,00;95,47
3006,00;95,47
3005,00;95,47
3004,00;95,47
3003,00;95,48
3002,00;95,48
3001,00;95,49
3000,00;95,49
2999,00;95,49
2998,00;95,50
2997,00;95,50
2996,00;95,51
2995,00;95,51
2994,00;95,50
2993,00;95,50
2992,00;95,50
2991,00;95,49
2990,00;95,49
2989,00;95,48
2988,00;95,47
2987,00;95,46
2986,00;95,44
2985,00;95,42
2984,00;95,39
2983,00;95,36
2982,00;95,33
2981,00;95,31
2980,00;95,29
2979,00;95,27
2978,00;95,25
2977,00;95,22
2976,00;95,19
2975,00;95,16
2974,00;95,13
2973,00;95,09
2972,00;95,05
2971,00;95,00
2970,00;94,96
2969,00;94,91
2968,00;94,86
2967,00;94,80
2966,00;94,75
2965,00;94,69
2964,00;94,64
2963,00;94,58
2962,00;94,54
2961,00;94,49
2960,00;94,45
2959,00;94,41
2958,00;94,38
2957,00;94,35
2956,00;94,33
2955,00;94,31
2954,00;94,29
2953,00;94,28
2952,00;94,27
2951,00;94,26
2950,00;94,24
2949,00;94,22
2948,00;94,20
2947,00;94,17
2946,00;94,13
2945,00;94,09
2944,00;94,04
2943,00;93,98
2942,00;93,90
2941,00;93,82
